id,txid,timestamp,contractAddress,tokenId,owner,resource,amount,blockNumber
,0xc2d258f6bb6a8d8cc2600bb34deeaa7ee52f7543d4747e73cb19234ff5681bc6,2024-08-06T04:23:58.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1573,0x17DD8D739608Ba385588d747c490F1394dC2Fbb9,coconut,30000000000000000000,60248209
,0xe313b740a73a29fa1105fe02cd0947926d27ce552c999d70765902f38d861970,2024-08-07T08:32:34.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1464,0x456480C55c72d5281987B712e4856A6b1Cb9Bf42,fish,14000000000000000000,60293808
,0xece1d9c5f439ba3b2c89c229c0cec248ce46f5f27f27bf56031aaa5ef7d20b19,2024-08-07T08:35:28.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1949,0x456480C55c72d5281987B712e4856A6b1Cb9Bf42,wood,3500000000000000000,60293875
,0xece1d9c5f439ba3b2c89c229c0cec248ce46f5f27f27bf56031aaa5ef7d20b19,2024-08-07T08:35:28.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1949,0x456480C55c72d5281987B712e4856A6b1Cb9Bf42,fish,14000000000000000000,60293875
,0xc3d2d37a3c92f46214ad59ea511fc3458b3655a6d806484d0af520700a6c645b,2024-08-07T21:35:40.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,2349,0x4C446a2c63E36a1Ba09235855527FCC89DF447DF,fish,20000000000000000000,60314697
,0x1bd2d003496bf4f2366baf438aa4a44ad23863c5e327c2db447737cd74cf212c,2024-08-08T04:53:58.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1508,0x5973bf00521377Cfa4e22Dc51E8f7F733e8EF7A6,wood,200000000000000000,60326787
,0x1bd2d003496bf4f2366baf438aa4a44ad23863c5e327c2db447737cd74cf212c,2024-08-08T04:53:58.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1508,0x5973bf00521377Cfa4e22Dc51E8f7F733e8EF7A6,fish,1000000000000000000,60326787
,0xc33e711651c202d18b2de31845403395c729961e81673a780c3eab922644eda0,2024-08-09T04:57:45.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1508,0x5973bf00521377Cfa4e22Dc51E8f7F733e8EF7A6,wood,800000000000000000,60366943
,0xc33e711651c202d18b2de31845403395c729961e81673a780c3eab922644eda0,2024-08-09T04:57:45.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1508,0x5973bf00521377Cfa4e22Dc51E8f7F733e8EF7A6,fish,4000000000000000000,60366943
,0xd1c13bc745d70728077dbaaf8ca4b93545554915509c62504536887a36440f3e,2024-08-09T21:38:15.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,395,0x4Baf5AC3709e3bd14f71E420456664E6e3B8cbb5,coconut,24000000000000000000,60394897
,0xee8ad9b20c244318211eab9b60ddcc4ce4b92fc640dcb40ba84d4e6b2f819b83,2024-08-09T22:11:45.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,231,0x4Baf5AC3709e3bd14f71E420456664E6e3B8cbb5,coconut,24000000000000000000,60395827
,0xe0b2d4f98df2ee42488b8ed312fff827abe0b1fcdbe173f5aaa392157f02d15e,2024-08-11T05:33:03.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1668,0x5973bf00521377Cfa4e22Dc51E8f7F733e8EF7A6,fish,5000000000000000000,60448061
,0x6413f57785fc184eddac9d9af50bc24e3ce0b23d68510be0e9a461faf835ca2f,2024-08-11T10:20:53.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,152,0x2E86687784ea2cd157005F5b200BDAe6B20BE313,fish,14000000000000000000,60456157
,0x452a1f637274f55b47ec08ab1eaca3c73833878a0e3546ef54a77f79d559fb2c,2024-08-11T10:21:43.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,2255,0x2E86687784ea2cd157005F5b200BDAe6B20BE313,fish,5000000000000000000,60456180
,0x7b394ece0c164b32db6badd7c8971b359a4c16c7166a21fe481d3515e876a630,2024-08-11T19:22:57.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,2051,0xaDD6805b30eF7187A3B6CdFEE4060A3F0C98A248,fish,6000000000000000000,60471255
,0x130d07bf650eed48f4455ae604f1eeda3353141fc1c30d2ff113dd5059f52938,2024-08-12T23:43:29.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1331,0x60c5c003FFaee8deA12afbbda7481D5CBd5CC382,wood,600000000000000000,60518195
,0x130d07bf650eed48f4455ae604f1eeda3353141fc1c30d2ff113dd5059f52938,2024-08-12T23:43:29.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1331,0x60c5c003FFaee8deA12afbbda7481D5CBd5CC382,coconut,6000000000000000000,60518195
,0x029ad186142f75ad4869a8a1da70696327bf132ed56bde4c57f21b83f4298507,2024-08-13T04:59:53.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1508,0x5973bf00521377Cfa4e22Dc51E8f7F733e8EF7A6,wood,2400000000000000000,60526990
,0x029ad186142f75ad4869a8a1da70696327bf132ed56bde4c57f21b83f4298507,2024-08-13T04:59:53.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1508,0x5973bf00521377Cfa4e22Dc51E8f7F733e8EF7A6,fish,12000000000000000000,60526990
,0x267cc9f21767827a9d13edc742686a36285ca3b08e373ffab28c62bcdd673724,2024-08-13T20:10:32.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1284,0xC0Faf6c468E281ECd878FDBb98bF66532776f807,coconut,12000000000000000000,60552311
,0x5906c82700810c9da6237dcf552cada5065f24fcee7ddd5ca3d3582dea60d610,2024-08-14T04:41:05.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,559,0x5973bf00521377Cfa4e22Dc51E8f7F733e8EF7A6,fish,10000000000000000000,60566157
,0x2235487a10f5ba29363a03987d79d681bf28d20db441fc11213617108aa8f8d8,2024-08-14T18:44:17.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,101,0x86758FE743E4151c5f52aC990Bf80213eFF2BF1E,fish,15000000000000000000,60589771
,0xd4d89c9015c53750556a6e6ce4fb1fa84b4c08abee2ef114b645f96dfe0dbf96,2024-08-14T20:17:51.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,768,0x2E86687784ea2cd157005F5b200BDAe6B20BE313,fish,8000000000000000000,60592413
,0x2fef17a4777bdbd379fcb33b633cf9978354d89b1ba136fcb3254bc440730527,2024-08-14T20:21:17.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,573,0x2E86687784ea2cd157005F5b200BDAe6B20BE313,fish,23000000000000000000,60592510
,0xe57932b8c69d33405cba9b7670982124ddd7efd1effbf1953614b5749b718681,2024-08-15T13:33:27.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,111,0x52904ad47ec751E1a9f87DE4d286761Dd85a7f76,fish,9000000000000000000,60620981
,0x517d4e22a7be00de7d70a8caa22ebb52c6903b7fe24d560c318f27cf09ab1023,2024-08-15T18:11:19.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,845,0x0124b3ef01938106BBe79f04462D6944D78b6AE2,fish,14000000000000000000,60628822
,0x9e092f63b8472b8dc7086cd15f8a42880dd4d2378a42e0b4ae325005bd4e9a5b,2024-08-16T05:39:05.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1668,0x5973bf00521377Cfa4e22Dc51E8f7F733e8EF7A6,fish,12000000000000000000,60648081
,0x14762d4d101cd27c16207a4143895d454dcd8957890b2f5016f40f8f1bfa7444,2024-08-18T04:52:22.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,1760,0xC0Faf6c468E281ECd878FDBb98bF66532776f807,coconut,40000000000000000000,60727153
,0xfb3a4f86263f75071d6bcdaf28f4ff3308217049d82e60698140684bace79108,2024-08-21T08:07:30.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,321,0xa59a77af24739B0E832294aAbD3954670829DE41,fish,10000000000000000000,60853001
,0x73caf7c09bff6b5256a2540c98683e7083671f3d0a5cb6f4bb95ff84c802e445,2024-08-21T09:37:16.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,434,0x1b6c502f9400f6619657d45f9686ea1991436C6c,fish,12000000000000000000,60855534
,0x16ec274088ac18fd948fa6dd25a0fab7fc6b1a877126f87eda7e9f5089b843bf,2024-08-21T19:02:55.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,2051,0xaDD6805b30eF7187A3B6CdFEE4060A3F0C98A248,wood,5600000000000000000,60871341
,0x16ec274088ac18fd948fa6dd25a0fab7fc6b1a877126f87eda7e9f5089b843bf,2024-08-21T19:02:55.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,2051,0xaDD6805b30eF7187A3B6CdFEE4060A3F0C98A248,fish,28000000000000000000,60871341
,0xabeead5a4734edb3e180f56c58ebd8c449b53cfe6b86d4d2478428a281d16de3,2024-08-22T16:57:29.000Z,0xC617FE2c8B4C0dF871E07b3796Fda41BD0996E7C,776,0x86758FE743E4151c5f52aC990Bf80213eFF2BF1E,fish,10000000000000000000,60908376
